1,Task1,a@mgt.com,1,10/10/14,10/17/14,New
2,Task2,a@mgt.com,1,10/12/14,10/18/14,New
3,Task3,a@mgt.com,1,10/13/14,10/19/14,New
4,Task4,a@mgt.com,1,10/14/14,10/20/14,New
5,Task5,a@mgt.com,2,10/15/14,10/20/14,New
6,Task6,b@mgt.com,2,10/16/14,10/22/14,New
7,Task7,b@mgt.com,2,10/17/14,10/17/14,New
8,Task8,b@mgt.com,3,10/18/14,10/18/14,New
9,Task9,b@mgt.com,4,10/19/14,10/19/14,New
10,Task10,b@mgt.com,5,10/20/14,10/20/14,New
11,Task11,c@mgt.com,6,10/20/14,10/25/14,New
12,Task12,c@mgt.com,6,10/22/14,10/26/14,New
13,Task13,c@mgt.com,7,10/23/14,10/27/14,New
14,Task14,d@mgt.com,8,10/24/14,10/28/14,New
15,Task15,d@mgt.com,9,10/25/14,10/29/14,New
16,Task16,d@mgt.com,20,10/26/14,10/30/14,New
17,Task17,d@mgt.com,19,10/27/14,10/30/14,New
18,Task18,d@mgt.com,18,10/28/14,11/30/14,New
19,Task19,d@mgt.com,10,10/29/14,11/30/14,New
20,Task20,d@mgt.com,1,10/30/14,11/530/2014,New
21,Task1 - Eggs,a@mgt.com,21,10/10/14,10/17/14,New
22,Task2 - Butter,a@mgt.com,21,10/12/14,10/18/14,New
23,Task3 - Milk,a@mgt.com,21,10/13/14,10/19/14,New
24,Task4 - Sugar,b@mgt.com,21,10/14/14,10/20/14,New
25,Task5 - Flour,b@mgt.com,21,10/15/14,10/20/14,New
26,Task6 - Vinegar,b@mgt.com,21,10/16/14,10/22/14,New
